	USD
1813	25.8286
1814	25.7966
1815	25.7994
1816	25.7469
1817	25.7657
1818	25.724
1819	25.7617
1820	25.776
1821	25.6948
1822	25.6934
1823	25.7446
1824	25.6851
1825	25.7564
1826	25.7288
1827	25.7691
1828	25.7351
1829	25.7334
1830	25.7771
1831	25.8594
1832	25.8067
1833	25.7927
1834	25.7376
1835	25.8074
1836	25.8492
1837	25.8388
1838	25.8831
1839	25.8964
1840	25.9002
1841	25.9152
1842	25.8884
1843	25.9029
1844	25.9031
1845	25.9043
1846	25.8983
1847	25.8928
1848	25.8493
1849	25.818
1850	25.8428
1851	25.9247
1852	25.9811
1853	26.042
1854	26.0465
1855	26.0323
1856	25.9558
1857	25.9268
1858	25.9372
1859	25.9692
1860	25.9356
1861	25.901
1862	25.7781
1863	25.8468
1864	25.7965
1865	25.8162
1866	25.7288
1867	25.6574
1868	25.6629
1869	25.6742
1870	25.7305
1871	25.7016
1872	25.6586
1873	25.5363
1874	25.5167
1875	25.4936
1876	25.4728
1877	25.4563
1878	25.4401
1879	25.4216
1880	25.4144
1881	25.3853
1882	25.3964
1883	25.4132
1884	25.4989
1885	25.4963
1886	25.5999
1887	25.5448
1888	25.6008
1889	25.5945
1890	25.5554
1891	25.452
1892	25.4702
1893	25.4837
1894	25.3444
1895	25.507
1896	25.4661
1897	25.5319
1898	25.6367
1899	25.7379
1900	25.7818
1901	25.7408
1902	25.8429
1903	25.8405
1904	25.7105
1905	25.7609
1906	25.6544
1907	25.6753
1908	25.763
1909	25.6494
1910	25.6262
1911	25.5896
1912	25.5982
1913	25.6997
1914	25.6639
1915	25.6618
1916	25.5708
1917	25.5154
1918	25.4056
1919	25.3679
1920	25.3422
1921	25.3286
1922	25.3547
1923	25.1867
1924	25.1258
1925	25.054
1926	25.0062
1927	25.0315
1928	24.9755
1929	24.9619
1930	24.9493
1931	24.8784
1932	24.9093
1933	24.9297
1934	25.0111
1935	24.9814
1936	24.98
1937	25.0597
1938	24.9842
1939	24.9199
1940	24.9216
1941	24.923
1942	24.9012
1943	24.9275
1944	24.8749
1945	24.8494
1946	24.8066
1947	24.9225
1948	24.8912
1949	24.8508
1950	24.7722
1951	24.6983
1952	24.7238
1953	24.6724
1954	24.6847
1955	24.6674
1956	24.6232
1957	24.5123
